ID	Extension	Complexity	Real_Fake	Sentiment1	Sentiment2	Political	Width	Height	Channels	Mime	ImageFileSize	TextSizeChar	TextSizeBytes	TextUppercase	TextLowercase
00100001	jpg	Combination	Fake	Negative	Sadness	Yes	597	435	3	image/jpeg	28090	44	44	Yes	No
00100002	jpg	Combination	Fake	Negative	Sadness	Yes	591	487	3	image/jpeg	50369	89	89	No	Yes
00100003	jpg	Simple	Real	Negative	Sadness	No	584	477	3	image/jpeg	38837	150	157	No	No
00100004	jpg	Simple	Real	Negative	Anger	Yes	567	504	3	image/jpeg	47183	56	59	No	No
00100005	jpg	Simple	Real	Negative	Fear	No	592	487	3	image/jpeg	37580	87	88	No	No
00100006	jpg	Simple	DeepFake	Neutral	Surprise	No	571	313	3	image/jpeg	26712	90	90	Yes	No
00100007	jpg	Combination	Fake	Negative	Anger	No	545	484	3	image/jpeg	38267	82	91	No	No
00100008	jpg	Simple	Real	Negative	Anger	No	593	454	3	image/jpeg	60691	79	79	Yes	No
00100009	jpg	Combination	Fake	Neutral	Anger	No	595	449	3	image/jpeg	31532	14	14	No	Yes
00100010	jpg	Combination	Fake	Negative	Sadness	No	551	512	3	image/jpeg	49992	75	82	No	Yes
00100011	jpg	Combination	Real	Negative	Sadness	No	502	512	3	image/jpeg	31951	99	102	No	No
00100012	jpg	Simple	Fake	Negative	Surprise	Yes	590	443	3	image/jpeg	60873	24	25	No	No
00100013	jpg	Simple	Fake	Negative	Fear	Yes	495	517	3	image/jpeg	48502	34	35	No	No
00100014	jpg	Simple	DeepFake	Neutral	Surprise	No	552	498	3	image/jpeg	38214	16	16	Yes	No
00100015	jpg	Simple	Real	Positive	Joy	No	569	472	3	image/jpeg	46287	55	61	No	No
00100016	jpg	Simple	Real	Negative	Anger	Yes	598	385	3	image/jpeg	39244	74	74	Yes	No
00100017	jpg	Simple	Fake	Negative	Sadness	Yes	573	480	3	image/jpeg	29203	27	32	No	No
00100018	jpg	Combination	Real	Positive	Joy	No	579	512	3	image/jpeg	36382	14	14	No	No
00100019	jpg	Simple	Fake	Neutral	Fear	Yes	576	619	3	image/jpeg	75793	18	22	No	No
00100020	jpg	Simple	Real	Negative	Anger	No	576	576	3	image/jpeg	65785	40	40	Yes	No
00100021	jpg	Simple	Real	Neutral	Joy	No	576	792	3	image/jpeg	55832	48	48	No	No
00100022	jpg	Simple	Real	Negative	Anger	No	576	384	3	image/jpeg	55224	73	77	Yes	No
